date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:14	227/227	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:53:52%20GMT	http://www.speakforindiadelhi.com/assets/css/font/fontello.woff?42698837	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/font/fontellobb3b.woff	(from http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello.css)
23:23:15	226/226	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:53:53%20GMT	http://www.speakforindiadelhi.com/assets/css/font/fontello.ttf?42698837	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/font/fontellobb3b.ttf	(from http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello.css)
23:23:15	226/226	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:53:53%20GMT	http://www.speakforindiadelhi.com/assets/css/font/fontello.svg?42698837	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/font/fontellobb3b.svg	(from http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello.css)
23:23:15	226/226	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:53:53%20GMT	http://www.speakforindiadelhi.com/assets/css/font/fontello.eot?1401487	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/font/fontellob0ab.eot	(from http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello-embedded.css)
23:23:15	226/226	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:53:53%20GMT	http://www.speakforindiadelhi.com/assets/css/font/fontello.svg?1401487	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/font/fontellob0ab.svg	(from http://www.speakforindiadelhi.com/assets/css/css-fontello/fontello-embedded.css)
23:23:16	95577/95577	---M-Z	200	added ('OK')	text/css	etag:%2217559-5a1086d08a39b-gzip%22	http://www.speakforindiadelhi.com/assets/css/manual.css?v=1.20	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/css/manualb830.css	(from http://www.speakforindiadelhi.com/venue.html)
23:23:18	13038/13038	---M--	200	added ('OK')	image/png	etag:%2232ee-59684b256ff83%22	http://www.speakforindiadelhi.com/assets/images/lg2.png	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/lg2.png	(from http://www.speakforindiadelhi.com/venue.html)
23:23:20	7620/7620	---M--	200	added ('OK')	image/png	etag:%221dc4-59566bed61ad3%22	http://www.speakforindiadelhi.com/assets/images/footer-hindustantimes.png	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/footer-hindustantimes.png	(from http://www.speakforindiadelhi.com/venue.html)
23:23:21	28146/28146	---M--	200	added ('OK')	image/png	etag:%226df2-59684b256ff83%22	http://www.speakforindiadelhi.com/assets/images/lg1.png	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/lg1.png	(from http://www.speakforindiadelhi.com/venue.html)
23:23:21	9504/9504	---M--	200	added ('OK')	image/png	etag:%222520-5973e9e6f3bab%22	http://www.speakforindiadelhi.com/assets/images/lh-logo.png	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/lh-logo.png	(from http://www.speakforindiadelhi.com/venue.html)
23:23:22	202/202	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:54:00%20GMT	http://www.speakforindiadelhi.com/POST	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
23:23:22	201/201	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:54:00%20GMT	http://www.speakforindiadelhi.com/GET	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/GET	(from https://analytics.htmedia.in/analytics-js/htil-analytics.js)
23:23:22	262/262	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2017:54:00%20GMT	http://www.speakforindiadelhi.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://analytics.htmedia.in/analytics-js/htil-analytics.js)
23:23:23	42772/42772	---M-Z	200	added ('OK')	application/javascript	etag:%22a714-59566bed61ebb-gzip%22	http://www.speakforindiadelhi.com/assets/js/owl.carousel.min.js	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/js/owl.carousel.min.js	(from http://www.speakforindiadelhi.com/venue.html)
23:23:23	35717/35717	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Mar%202020%2017:54:01%20GMT	http://www.speakforindiadelhi.com/	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/index-2.html	(from https://analytics.htmedia.in/analytics-js/htil-analytics.js)
23:23:24	1788/1788	---M--	200	added ('OK')	image/png	etag:%226fc-59634f517d980%22	http://www.speakforindiadelhi.com/assets/images/quote.png	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/quote.png	(from http://www.speakforindiadelhi.com/about-us.html)
23:23:25	6961/6961	---M--	200	added ('OK')	image/jpeg	etag:%221b31-596364229f680%22	http://www.speakforindiadelhi.com/assets/images/josh.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/josh.jpg	(from http://www.speakforindiadelhi.com/about-us.html)
23:23:27	122888/122888	---M--	200	added ('OK')	image/jpeg	etag:%221e008-59566bed616eb%22	http://www.speakforindiadelhi.com/assets/images/940.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/940.jpg	(from http://www.speakforindiadelhi.com/assets/css/manual.css?v=1.26)
23:23:32	85827/85827	---M--	200	added ('OK')	image/jpeg	etag:%2214f43-59684b256ff83%22	http://www.speakforindiadelhi.com/assets/images/abtlogo.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/abtlogo.jpg	(from http://www.speakforindiadelhi.com/about-us.html)
23:24:08	1078127/1078127	---M--	200	added ('OK')	image/jpeg	etag:%2210736f-59f77a5b8a88b%22	http://www.speakforindiadelhi.com/assets/images/banner-result.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/banner-result.jpg	(from http://www.speakforindiadelhi.com/assets/css/manual.css?v=1.26)
23:24:09	693/693	---M-Z	200	added ('OK')	application/javascript	etag:%222b5-59566bed61ebb-gzip%22	http://www.speakforindiadelhi.com/assets/js/scrollBar.js	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/js/scrollBar.js	(from http://www.speakforindiadelhi.com/)
23:24:25	207095/207095	---M--	200	added ('OK')	image/jpeg	etag:%22328f7-59566bed61ad3%22	http://www.speakforindiadelhi.com/assets/images/speak.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/speak.jpg	(from http://www.speakforindiadelhi.com/)
23:24:57	1021241/1021241	---M--	200	added ('OK')	image/jpeg	etag:%22f9539-59ccedc88c973%22	http://www.speakforindiadelhi.com/assets/images/banner1.jpg	C:/Users/kalra/Desktop/On%20Going%20Projects/Done/Manya%20Automate/Speak%20For%20india%20Website/Manya%20Website/www.speakforindiadelhi.com/assets/images/banner1.jpg	(from http://www.speakforindiadelhi.com/)
